22	caring	A few months ago I broke my wrists. I had so much family support, it made me very happy.
22	caring	There was a wild or ferril cat that hung around my house for months. I fed him and took hi to the vet to be neutered. Instead of releasing him, I kept him. 
22	caring	My daughter had a sore throat last night.
22	caring	It is my mother's birthday this weekend. I really want to surprise her with a gift because I love her so much.
22	caring	My dog saw this cat being chase and scared the other dog away.
25	anticipating	One time I ordered a game on the internet and it took a week longer that it was supposed to, to get delivered and I had no idea when it would be delivered. 
25	anticipating	I can't wait to see the new James Bond movie.
25	anticipating	i planted a garden and was so excited in anticipation of the plant growth.
25	anticipating	I called my new boss about when I need to come in to work for the first time, and they said they'd call me back. I keep waiting for the phone to ring, and it's getting late, but they're not calling me.
25	anticipating	Love to cruise.  Have a 14 day coming up.  So looking forward to unplugging for 2 weeks.
4	terrified	I used to eat McDonald's every time I would get drunk in college...now I'm scared to even touch it haha
4	terrified	There was a huge spider in my room last night! When I smacked it with a shoe, thousands of babies started running everywhere.
4	terrified	i thought someone was breaking into my apartment last night
4	terrified	Was playing rough with my relatives, running around outside, doing touch football. I think I twisted my ankle or something. I'm dumb and don't have health insurance this year.. Worried how much money I'm gonna have to spend
4	terrified	I watched a scary film last night, and it still has me super spooked.
17	surprised	I found 6 puppies on my doorstep.
17	surprised	I was shocked when my aunt made my graduation. She lived out of state
17	surprised	I woke up early today for work. My children were still up watching cartoons!
17	surprised	I saw a bear the other night while driving. I was shocked.
17	surprised	The other day I saw a man take a dog from the street, I've been seeing that dog for a while and in a couple of days I see this dog on the streets again, poor little thing.
