13	annoyed	My cat pooped on the rug today. I was so peeved.
4	terrified	Every night, around midnight, I hear terrible noises coming from the woods outside of my home.
16	guilty	I cooked breakfast this morning for only my self. My kids made me mad yesterday so I didn't make them any. I feel bad about it now
6	angry	Im tired of paying rent. Id rather have a mortgage and own my home
2	proud	I am so proud of myself.  I started a new job today!
26	anxious	Tomorrow I start my new job.
24	disgusted	My dog got sick all over the floor. The smell was foul.
8	jealous	When I was younger, my best friend and I worked at the same company.  She got a promotion that we both wanted.  I'd been working there longer so it really stung.
24	disgusted	My dog just threw up.
19	confident	When I walk into a room full of people I can usually feel all eyes on me but it doesn't faze me...especially if I just got a clean fade
11	embarrassed	I dropped an expensive glass of wine at dinner with my parents.
31	devastated	Me and my sister were yelling at each other then my brother came up to us. He ended up telling us he found grandma dead on her bed downstairs.
17	surprised	There were 6 kittens in front of my doorstep this morning.
8	jealous	I wanted to get a new pool. My parents got a new pool and im so envious.
1	afraid	A while ago, I was riding in the car with my uncle at night to get some food. He had a few drinks earlier and we ended up getting pulled over.
0	sentimental	I have just got the news about my grandmother. She is not gonna be improving and will be dying.
12	excited	I was getting my nose pierced tomorrow!
13	annoyed	I get so annoyed at my husband when he leaves his dirty clothing on the floor.
24	disgusted	I found a dead racoon in my shed. I must have been there for a few weeks
0	sentimental	My dad gave me an old coin that used to belong to his grandfather.  I don't think it's worth much money, but it means a lot to me.
22	caring	My sister just had surgery last week. She is still in a lot of pain so I am staying with her to help out with her kids and housework.
1	afraid	Going coaster riding this weekend :/
11	embarrassed	I was at the store the other day and I bumped in to a wine rack and knocked over a bunch of bottles, and people were staring which was so embarrassing. 
25	anticipating	I'm pretty excited about this new Spider-Man game on PS4.
28	content	I got all of my housework done. For the rest of the day I am satisfied to just relax and do whatever I want.
22	caring	I found a lost kitten and I took it to my house and cleaned it up and adopted it.
7	sad	I was looking forward to spending time with my friend Megan today, but I had to put it off again because I fell ill this morning.
24	disgusted	The cafe down the street used to be my favorite place to eat. They recently failed several health inspections.
25	anticipating	Turning 21 next week. I hope I hit it off with a girl.
19	confident	I have my final math exam tomorrow. Never felt so prepared.
19	confident	I keep my mind to the horizon of my dreams because I know my feet always carry me ten steps further than I thought they would
30	apprehensive	I am feeling quite a lot of trepidation about the weekend coming up. It might involve seeing someone I am kind of involved with and I am not ready to see them again.
27	hopeful	I invited my best friend to my party. She has a busy schedule and promised to come.
11	embarrassed	My 5 year old started Kindergarten last week. She was nervouse and started to cry and cling to me when I went to leave. The teacher pulled her away and becuase she had ahold of my shirt she ended up yanking it down.
10	prepared	There was bad weather expected in our area, so I made sure to get water and bread.
29	impressed	its impressive when a team can snag away a start player from another team
7	sad	My hamster passed away.
10	prepared	I am going to be having my baby next week. I have spent the last several days getting things ready at home and also preparing meals in advance for the freezer.
13	annoyed	I don't like doing my job and the duties of other co-worker that slack.
29	impressed	I came home from grocery shopping to find that my husband had cleaned the entire house up and started dinner.  I was amazed.
5	joyful	I have been jobless for 14 months. Last week, I finally got a job. I am so happy.
15	ashamed	I have very bad teeth.
1	afraid	I was home alone and heard what sounded like scratching underneath the floor. I was worried an animal was under the house, and that it might be able to get into the house, and that it might be something dangerous.
5	joyful	I just booked my fall vacation in Boston.  I have never been
13	annoyed	I really dont like when someone gets too close to me in line.
24	disgusted	I saw a couple homeless people walking completely naked.
27	hopeful	I was hoping my brother would come home this week. He still might
19	confident	My friend will love my baby shower present.
17	surprised	The local restuarant near us is closing. I thought business was good.
6	angry	My kid destroyed my entire bathroom today. It upset me pretty bad.
20	furious	I tried to buy a part for my furniture but they changed the sizes and left the name the same
14	lonely	No one showed up for my birthday. I was so alone.
27	hopeful	 I lost an earring at work..... Im hoping I find it
30	apprehensive	Roller coasters this weekend
25	anticipating	I'm really looking forward to the future.
12	excited	This week end, I am moving in my house that I bought. I am so happy.
10	prepared	Every hurricane season I make sure to stock up on water and the essentials just in case. 
26	anxious	I felt really nervous when I took my driving test
12	excited	going to see my favorite band
30	apprehensive	My son goes to kindergarten in a week and I can't imagine him being gone through the day. It's hard to not be worried about how he'll be at school.
27	hopeful	I submitted a proposal to an agent. I really wanted her to like my work and take me as a client. 
19	confident	I interviewed for a job promotion today and I feel like I did very well.
